id,lon,lat,indicator_depth
197,-174.166672,58.806061,
198,-177.500001,59.181229,
199,-177.166672,59.181229,
200,-178.166672,58.993141,1
201,-175.166672,58.806061,
202,-173.833344,58.806061,
203,-176.833328,58.806061,1
204,-176.499999,59.181229,
205,-177.833329,59.181229,1
206,-173.833344,59.181229,
207,-174.500001,59.181229,
208,-175.833328,58.993141,
209,-175.500001,58.993141,
210,-176.833328,59.370354,
211,-173.166672,59.181229,
212,-174.833329,59.181229,
213,-175.499999,59.181229,
214,-174.166673,59.181229,
215,-177.499999,59.370354,
216,-177.166672,59.370354,
217,-175.166671,59.181229,
218,-175.166673,58.993141,
219,-174.5,59.370354,
220,-174.166673,59.370354,
221,-176.833327,59.560536,
222,-175.833328,59.370354,
223,-177.166671,59.560535,
224,-173.833343,59.370354,
225,-175.166671,59.370354,
226,-176.833328,59.751789,
227,-177.833328,59.751789,
228,-177.500001,59.944141,
229,-178.5,59.751789,1
230,-178.166673,59.751789,1
231,-174.5,59.751789,
232,-175.166672,59.751789,
233,-175.833329,59.944141,
234,-177.833329,60.1376,
235,-177.499999,59.751789,
236,-177.166671,59.751789,
237,-175.5,59.944141,
238,-175.833328,60.1376,
239,-177.833328,60.332199,
240,-175.166672,59.944141,
241,-178.833328,60.1376,1
242,-178.500001,60.1376,1
243,-178.5,60.332199,
244,-176.833329,59.944141,
245,-178.166672,60.332199,
246,-178.833327,60.7249,
247,-178.166671,59.944142,1
248,-175.833328,60.332199,
249,-178.833328,60.527962,1
250,-178.499999,60.724899,
251,-178.5,60.527962,
252,-178.166671,60.527962,
253,-178.166673,60.1376,
254,-178.833327,60.332199,1
255,-177.833327,60.527962,
256,-172.5,56.634193,1
257,-163.833343,56.987369,
258,-171.833344,57.523483,
259,-173.166672,56.634193,1
260,-174.166671,58.067551,1
261,-172.833344,56.634193,1
262,-168.166672,56.458832,
263,-166.166687,56.284271,
264,-171.166672,56.810371,
265,-169.833343,58.067551,
266,-174.500001,58.434879,1
267,-173.833344,58.434879,1
268,-174.499999,58.806061,
269,-173.166672,56.810371,1
